family_id,family_name,platform,category,lifecycle_stage,region_scope,annual_revenue_k,gross_margin_pct,unit_volume,list_price_index,cost_inflation_pct,lead_time_days,warranty_claim_rate_pct,installed_base_dependency,customer_need_score,competitive_pressure,service_burden,training_gap,substitution_fit,npd_fit,launch_readiness,data_confidence,transition_urgency,npd_gate_score,pricing_confidence,portfolio_action_score
PF007,Miniature Analytical Valve,Analytical devices,valves,core,North America,4898,35.0,42634,116.4,4.5,90,3.0,61.8,81.9,72.1,8.4,37.6,54.6,59.8,69.7,76.1,34.8,73.8,41.9,46.4
PF007,Miniature Analytical Valve,Analytical devices,valves,core,EMEA,4739,39.3,45550,112.6,6.0,64,2.0,61.7,77.6,48.9,29.2,61.2,35.0,63.4,42.4,81.5,30.5,70.0,39.2,42.8
PF007,Miniature Analytical Valve,Analytical devices,valves,core,APAC,5310,36.4,64701,103.8,3.4,68,3.6,62.8,68.1,69.0,21.4,32.7,65.9,72.2,65.4,88.2,34.0,73.9,39.0,45.2
PF007,Miniature Analytical Valve,Analytical devices,valves,core,Latin America,5764,36.4,81155,105.5,5.2,66,2.3,55.0,72.7,79.6,44.0,41.5,44.8,64.3,54.2,79.5,35.7,69.4,42.7,46.0
PF008,Smart Air Preparation Unit,Factory automation,pneumatics,mature,North America,2275,21.6,20382,96.1,7.6,89,3.6,66.0,61.5,54.4,34.2,47.5,30.0,80.1,20.9,58.3,51.2,51.7,57.7,53.4
PF008,Smart Air Preparation Unit,Factory automation,pneumatics,mature,EMEA,5683,35.4,56270,95.6,7.6,85,3.3,92.2,59.6,48.9,31.3,40.2,53.4,74.6,46.3,80.8,41.4,65.6,37.7,46.0
PF008,Smart Air Preparation Unit,Factory automation,pneumatics,mature,APAC,3187,29.1,29542,116.5,9.7,87,4.0,72.6,70.7,90.3,46.7,31.3,58.3,72.2,47.1,81.5,54.3,61.7,59.0,57.6
PF008,Smart Air Preparation Unit,Factory automation,pneumatics,mature,Latin America,3548,27.0,40061,102.5,9.1,58,4.0,75.0,57.7,48.2,31.3,42.0,46.7,82.6,60.5,75.2,44.6,67.0,51.0,52.0
PF009,High Pressure Gas Regulator,Pressure control,regulators,harvest,North America,2936,30.4,23121,114.9,8.6,111,4.0,82.2,48.4,69.4,49.7,32.6,75.3,56.9,57.9,65.9,57.0,52.6,46.0,52.4
PF009,High Pressure Gas Regulator,Pressure control,regulators,harvest,EMEA,3484,29.4,48762,97.2,12.0,71,4.1,75.1,74.1,74.5,65.1,54.3,50.7,36.1,34.4,59.1,54.0,53.6,56.1,54.6
PF009,High Pressure Gas Regulator,Pressure control,regulators,harvest,APAC,2513,22.6,25850,116.2,11.1,89,4.2,81.6,53.3,71.9,65.5,30.0,43.3,48.9,24.2,73.6,62.9,41.7,63.5,58.0
PF009,High Pressure Gas Regulator,Pressure control,regulators,harvest,Latin America,4873,28.3,69871,112.3,10.0,66,3.2,80.6,75.7,82.3,50.1,50.3,67.6,29.8,42.3,67.6,54.5,55.5,58.4,56.0
PF010,Discrete Valve Monitor,Position sensing,sensors,transition,North America,3872,16.0,42609,108.0,13.5,121,5.2,68.4,59.1,61.9,68.8,44.2,84.9,46.3,50.0,71.0,79.7,37.5,75.7,68.3
PF010,Discrete Valve Monitor,Position sensing,sensors,transition,EMEA,6301,26.9,52234,92.7,12.0,100,3.8,64.4,55.1,92,70.5,56.1,71.2,46.9,29.2,69.1,64.5,43.8,61.1,58.4
PF010,Discrete Valve Monitor,Position sensing,sensors,transition,APAC,6105,19.6,56537,110.5,15.9,98,5.2,55.5,75.2,89.8,57.5,52.8,63.1,53.7,62.3,61.1,71.3,52.1,79.3,69.2
PF010,Discrete Valve Monitor,Position sensing,sensors,transition,Latin America,4540,20.9,32729,98.5,14.2,98,5.0,73.1,52.1,92,53.4,63.1,44.8,62.0,37.4,77.6,68.0,45.1,73.6,64.3
PF011,Legacy Manifold Series,Fluid control,valves,growth,North America,3134,41.3,25413,99.9,2.5,77,0.5,43.6,64.1,54.0,8,20.0,32.3,42.4,39.6,82.5,24.2,62.4,33.9,36.5
PF011,Legacy Manifold Series,Fluid control,valves,growth,EMEA,5625,38.7,35682,93.3,2.6,76,3.1,44.0,69.8,47.9,25.4,26.9,55.8,58.8,47.2,80.8,29.1,66.9,33.8,39.7
PF011,Legacy Manifold Series,Fluid control,valves,growth,APAC,6664,43.4,71199,112.2,3.3,93,2.5,32.5,62.8,69.6,33.9,42.0,42.3,70.2,79.9,69.8,32.1,70.2,35.9,42.5
PF011,Legacy Manifold Series,Fluid control,valves,growth,Latin America,4453,45.0,27032,96.5,2.1,83,3.6,22.6,65.8,73.1,8,24.7,52.4,67.4,67.0,90.6,26.5,72.0,38.2,41.2
PF012,Electric Motion Module,Motion control,actuators,core,North America,3137,39.6,20322,95.0,7.5,82,1.9,74.1,74.2,53.5,47.3,48.7,48.1,68.1,86.7,65.0,40.5,73.9,39.1,48.1
PF012,Electric Motion Module,Motion control,actuators,core,EMEA,3835,32.7,53409,105.0,3.6,65,2.7,62.6,77.6,69.6,23.9,25.2,42.4,76.0,53.8,65.7,33.6,73.3,42.1,45.8
PF012,Electric Motion Module,Motion control,actuators,core,APAC,5022,31.4,60922,96.6,6.9,104,1.9,64.2,70.2,62.0,41.8,51.0,30.7,90.2,65.1,81.8,43.5,68.3,47.0,50.6
PF012,Electric Motion Module,Motion control,actuators,core,Latin America,5210,31.7,59585,99.5,3.7,64,3.0,78.1,62.0,47.0,33.3,46.8,34.3,85.5,69.8,71.7,34.7,72.8,37.6,44.8
