event_id,event_date,entity_id,source_system,event_type,severity,owner_team,impacted_metric,records_impacted,note
EVT00024,2026-01-24,ENT024,Support notes,release_review,Critical,Operations,metric_certification,59372,industrial portfolio margin signal 24
EVT00025,2026-01-25,ENT001,Data warehouse,manual_override,Low,Operations,launch_readiness,35495,industrial portfolio margin signal 25
EVT00026,2026-01-26,ENT002,Sigma workbook,automation_run,High,Product,automation_savings,9202,industrial portfolio margin signal 26
EVT00027,2026-01-27,ENT003,Sigma workbook,manual_override,Critical,Analytics,backlog_age,19176,industrial portfolio margin signal 27
EVT00028,2026-01-28,ENT004,Data warehouse,manual_override,High,Supply chain,qa_defect_rate,24581,industrial portfolio margin signal 28
EVT00029,2026-01-29,ENT005,ERP,release_review,Low,Sales,backlog_age,56174,industrial portfolio margin signal 29
EVT00030,2026-01-30,ENT006,Sigma workbook,refresh_delay,Critical,Quality,automation_savings,16291,industrial portfolio margin signal 30
EVT00031,2026-01-31,ENT007,Support notes,release_review,Low,Operations,automation_savings,38121,industrial portfolio margin signal 31
EVT00032,2026-02-01,ENT008,ERP,stakeholder_request,Medium,Sales,qa_defect_rate,44171,industrial portfolio margin signal 32
EVT00033,2026-02-02,ENT009,Data warehouse,definition_change,High,Product,backlog_age,49680,industrial portfolio margin signal 33
EVT00034,2026-02-03,ENT010,CRM,manual_override,Medium,Operations,backlog_age,12722,industrial portfolio margin signal 34
EVT00035,2026-02-04,ENT011,ERP,stakeholder_request,Medium,Sales,gross_margin,39005,industrial portfolio margin signal 35
EVT00036,2026-02-05,ENT012,CRM,definition_change,High,Quality,backlog_age,34687,industrial portfolio margin signal 36
EVT00037,2026-02-06,ENT013,Sigma workbook,refresh_delay,Low,Sales,gross_margin,14308,industrial portfolio margin signal 37
EVT00038,2026-02-07,ENT014,Notebook,release_review,Medium,Supply chain,automation_savings,51726,industrial portfolio margin signal 38
EVT00039,2026-02-08,ENT015,Data warehouse,automation_run,Critical,Product,automation_savings,45131,industrial portfolio margin signal 39
EVT00040,2026-02-09,ENT016,Support notes,qa_failure,High,Quality,metric_certification,43665,industrial portfolio margin signal 40
EVT00041,2026-02-10,ENT017,Support notes,release_review,Critical,Quality,backlog_age,44092,industrial portfolio margin signal 41
EVT00042,2026-02-11,ENT018,ERP,automation_run,Critical,Quality,gross_margin,4198,industrial portfolio margin signal 42
EVT00043,2026-02-12,ENT019,Support notes,stakeholder_request,High,Analytics,automation_savings,2140,industrial portfolio margin signal 43
EVT00044,2026-02-13,ENT020,Data warehouse,stakeholder_request,Medium,Analytics,launch_readiness,53901,industrial portfolio margin signal 44
EVT00045,2026-02-14,ENT021,Notebook,refresh_delay,Medium,Supply chain,gross_margin,2343,industrial portfolio margin signal 45
EVT00046,2026-02-15,ENT022,CRM,stakeholder_request,Low,Product,metric_certification,23389,industrial portfolio margin signal 46
EVT00047,2026-02-16,ENT023,CRM,release_review,Critical,Product,metric_certification,34507,industrial portfolio margin signal 47
EVT00048,2026-02-17,ENT024,Sigma workbook,stakeholder_request,Medium,Supply chain,qa_defect_rate,24000,industrial portfolio margin signal 48
EVT00049,2026-02-18,ENT001,Data warehouse,refresh_delay,Medium,Quality,qa_defect_rate,20230,industrial portfolio margin signal 49
EVT00050,2026-02-19,ENT002,CRM,release_review,Medium,Product,gross_margin,6377,industrial portfolio margin signal 50
EVT00051,2026-02-20,ENT003,Data warehouse,qa_failure,Low,Supply chain,gross_margin,39673,industrial portfolio margin signal 51
EVT00052,2026-02-21,ENT004,ERP,qa_failure,Critical,Supply chain,gross_margin,41256,industrial portfolio margin signal 52
EVT00053,2026-02-22,ENT005,Data warehouse,definition_change,Low,Operations,gross_margin,23137,industrial portfolio margin signal 53
EVT00054,2026-02-23,ENT006,Support notes,refresh_delay,Medium,Sales,metric_certification,35520,industrial portfolio margin signal 54
EVT00055,2026-02-24,ENT007,Data warehouse,release_review,Critical,Supply chain,launch_readiness,45254,industrial portfolio margin signal 55
EVT00056,2026-02-25,ENT008,Sigma workbook,automation_run,Medium,Supply chain,automation_savings,29089,industrial portfolio margin signal 56
EVT00057,2026-02-26,ENT009,Data warehouse,manual_override,Medium,Sales,automation_savings,20078,industrial portfolio margin signal 57
EVT00058,2026-02-27,ENT010,Notebook,qa_failure,Medium,Operations,backlog_age,2608,industrial portfolio margin signal 58
EVT00059,2026-02-28,ENT011,ERP,definition_change,Critical,Operations,metric_certification,27834,industrial portfolio margin signal 59
EVT00060,2026-03-01,ENT012,CRM,manual_override,High,Sales,qa_defect_rate,632,industrial portfolio margin signal 60
EVT00061,2026-03-02,ENT013,ERP,release_review,Critical,Product,metric_certification,40633,industrial portfolio margin signal 61
EVT00062,2026-03-03,ENT014,ERP,refresh_delay,Critical,Analytics,qa_defect_rate,27075,industrial portfolio margin signal 62
EVT00063,2026-03-04,ENT015,Notebook,qa_failure,Low,Operations,qa_defect_rate,61001,industrial portfolio margin signal 63
EVT00064,2026-03-05,ENT016,Sigma workbook,release_review,Low,Supply chain,gross_margin,52798,industrial portfolio margin signal 64
EVT00065,2026-03-06,ENT017,Support notes,automation_run,Critical,Operations,backlog_age,29277,industrial portfolio margin signal 65
EVT00066,2026-03-07,ENT018,CRM,manual_override,Low,Analytics,metric_certification,56915,industrial portfolio margin signal 66
EVT00067,2026-03-08,ENT019,Data warehouse,manual_override,High,Supply chain,metric_certification,48932,industrial portfolio margin signal 67
EVT00068,2026-03-09,ENT020,Support notes,qa_failure,Low,Quality,launch_readiness,38858,industrial portfolio margin signal 68
EVT00069,2026-03-10,ENT021,Sigma workbook,automation_run,Medium,Product,qa_defect_rate,6972,industrial portfolio margin signal 69
EVT00070,2026-03-11,ENT022,CRM,manual_override,High,Operations,qa_defect_rate,15748,industrial portfolio margin signal 70
EVT00071,2026-03-12,ENT023,CRM,qa_failure,Low,Analytics,metric_certification,37111,industrial portfolio margin signal 71
EVT00072,2026-03-13,ENT024,Sigma workbook,definition_change,High,Supply chain,metric_certification,35065,industrial portfolio margin signal 72
EVT00073,2026-03-14,ENT001,CRM,qa_failure,Medium,Product,automation_savings,4235,industrial portfolio margin signal 73
EVT00074,2026-03-15,ENT002,Support notes,release_review,Low,Product,launch_readiness,249,industrial portfolio margin signal 74
EVT00075,2026-03-16,ENT003,CRM,definition_change,Critical,Supply chain,automation_savings,46620,industrial portfolio margin signal 75
EVT00076,2026-03-17,ENT004,Data warehouse,stakeholder_request,Critical,Sales,launch_readiness,51963,industrial portfolio margin signal 76
EVT00077,2026-03-18,ENT005,Support notes,automation_run,Critical,Analytics,metric_certification,13558,industrial portfolio margin signal 77
EVT00078,2026-03-19,ENT006,Sigma workbook,automation_run,Low,Analytics,qa_defect_rate,32124,industrial portfolio margin signal 78
EVT00079,2026-03-20,ENT007,ERP,definition_change,Critical,Product,metric_certification,51748,industrial portfolio margin signal 79
EVT00080,2026-03-21,ENT008,Data warehouse,stakeholder_request,Low,Sales,launch_readiness,43952,industrial portfolio margin signal 80
EVT00081,2026-03-22,ENT009,Sigma workbook,refresh_delay,Low,Operations,gross_margin,23191,industrial portfolio margin signal 81
EVT00082,2026-03-23,ENT010,Support notes,stakeholder_request,Low,Quality,launch_readiness,46369,industrial portfolio margin signal 82
EVT00083,2026-03-24,ENT011,Sigma workbook,refresh_delay,Medium,Supply chain,gross_margin,38934,industrial portfolio margin signal 83
EVT00084,2026-03-25,ENT012,Support notes,definition_change,High,Operations,metric_certification,31177,industrial portfolio margin signal 84
EVT00085,2026-03-26,ENT013,CRM,automation_run,Critical,Operations,metric_certification,8295,industrial portfolio margin signal 85
EVT00086,2026-03-27,ENT014,Notebook,stakeholder_request,Low,Product,metric_certification,53832,industrial portfolio margin signal 86
EVT00087,2026-03-28,ENT015,Data warehouse,definition_change,High,Product,backlog_age,23114,industrial portfolio margin signal 87
EVT00088,2026-03-29,ENT016,Notebook,manual_override,High,Operations,launch_readiness,23878,industrial portfolio margin signal 88
EVT00089,2026-03-30,ENT017,Support notes,manual_override,High,Quality,backlog_age,3455,industrial portfolio margin signal 89
EVT00090,2026-03-31,ENT018,Support notes,refresh_delay,Critical,Sales,automation_savings,44261,industrial portfolio margin signal 90
EVT00091,2026-04-01,ENT019,Support notes,definition_change,Low,Sales,launch_readiness,21453,industrial portfolio margin signal 91
EVT00092,2026-04-02,ENT020,Support notes,release_review,Critical,Product,metric_certification,59061,industrial portfolio margin signal 92
EVT00093,2026-04-03,ENT021,ERP,refresh_delay,High,Quality,launch_readiness,8627,industrial portfolio margin signal 93
EVT00094,2026-04-04,ENT022,CRM,refresh_delay,Medium,Quality,backlog_age,1670,industrial portfolio margin signal 94
EVT00095,2026-04-05,ENT023,Sigma workbook,automation_run,Low,Operations,metric_certification,46442,industrial portfolio margin signal 95
EVT00096,2026-04-06,ENT024,ERP,definition_change,High,Supply chain,qa_defect_rate,39637,industrial portfolio margin signal 96
EVT00097,2026-04-07,ENT001,Notebook,qa_failure,Critical,Product,qa_defect_rate,38398,industrial portfolio margin signal 97
EVT00098,2026-04-08,ENT002,Sigma workbook,qa_failure,Critical,Quality,gross_margin,32047,industrial portfolio margin signal 98
EVT00099,2026-04-09,ENT003,CRM,stakeholder_request,High,Analytics,launch_readiness,56394,industrial portfolio margin signal 99
EVT00100,2026-04-10,ENT004,Notebook,stakeholder_request,Low,Supply chain,launch_readiness,57728,industrial portfolio margin signal 100
EVT00101,2026-04-11,ENT005,ERP,refresh_delay,Low,Sales,automation_savings,4703,industrial portfolio margin signal 101
EVT00102,2026-04-12,ENT006,Sigma workbook,stakeholder_request,Critical,Product,launch_readiness,45606,industrial portfolio margin signal 102
EVT00103,2026-04-13,ENT007,CRM,definition_change,Medium,Supply chain,qa_defect_rate,49254,industrial portfolio margin signal 103
EVT00104,2026-04-14,ENT008,Support notes,stakeholder_request,Low,Supply chain,qa_defect_rate,24632,industrial portfolio margin signal 104
EVT00105,2026-04-15,ENT009,Support notes,stakeholder_request,Low,Sales,automation_savings,52714,industrial portfolio margin signal 105
EVT00106,2026-04-16,ENT010,Support notes,refresh_delay,Critical,Product,qa_defect_rate,47181,industrial portfolio margin signal 106
EVT00107,2026-04-17,ENT011,Notebook,qa_failure,High,Supply chain,launch_readiness,51823,industrial portfolio margin signal 107
EVT00108,2026-04-18,ENT012,Data warehouse,release_review,Critical,Operations,launch_readiness,32873,industrial portfolio margin signal 108
EVT00109,2026-04-19,ENT013,CRM,automation_run,Critical,Sales,launch_readiness,48466,industrial portfolio margin signal 109
EVT00110,2026-04-20,ENT014,Data warehouse,refresh_delay,Low,Sales,launch_readiness,43133,industrial portfolio margin signal 110
EVT00111,2026-04-21,ENT015,CRM,automation_run,Medium,Operations,launch_readiness,4405,industrial portfolio margin signal 111
EVT00112,2026-04-22,ENT016,Support notes,automation_run,Medium,Supply chain,metric_certification,24897,industrial portfolio margin signal 112
EVT00113,2026-04-23,ENT017,Sigma workbook,refresh_delay,Medium,Operations,qa_defect_rate,15459,industrial portfolio margin signal 113
EVT00114,2026-04-24,ENT018,Sigma workbook,stakeholder_request,Critical,Operations,backlog_age,60604,industrial portfolio margin signal 114
EVT00115,2026-04-25,ENT019,Sigma workbook,definition_change,Low,Supply chain,metric_certification,36668,industrial portfolio margin signal 115
EVT00116,2026-04-26,ENT020,Data warehouse,qa_failure,Critical,Quality,backlog_age,7927,industrial portfolio margin signal 116
EVT00117,2026-04-27,ENT021,Support notes,qa_failure,Medium,Product,backlog_age,32866,industrial portfolio margin signal 117
EVT00118,2026-04-28,ENT022,Support notes,manual_override,Low,Supply chain,qa_defect_rate,31189,industrial portfolio margin signal 118
EVT00119,2026-04-29,ENT023,Data warehouse,manual_override,High,Analytics,metric_certification,19170,industrial portfolio margin signal 119
EVT00120,2026-04-30,ENT024,Data warehouse,release_review,High,Operations,qa_defect_rate,9299,industrial portfolio margin signal 120
EVT00121,2026-01-01,ENT001,Data warehouse,release_review,High,Product,gross_margin,29143,industrial portfolio margin signal 121
EVT00122,2026-01-02,ENT002,Support notes,manual_override,Low,Operations,gross_margin,34844,industrial portfolio margin signal 122
EVT00123,2026-01-03,ENT003,Notebook,manual_override,Medium,Quality,launch_readiness,1910,industrial portfolio margin signal 123
EVT00124,2026-01-04,ENT004,CRM,release_review,High,Supply chain,qa_defect_rate,20176,industrial portfolio margin signal 124
EVT00125,2026-01-05,ENT005,Sigma workbook,qa_failure,Critical,Quality,metric_certification,28849,industrial portfolio margin signal 125
EVT00126,2026-01-06,ENT006,ERP,qa_failure,Low,Product,backlog_age,36367,industrial portfolio margin signal 126
EVT00127,2026-01-07,ENT007,Support notes,manual_override,Critical,Quality,automation_savings,52484,industrial portfolio margin signal 127
EVT00128,2026-01-08,ENT008,CRM,release_review,Critical,Sales,gross_margin,51592,industrial portfolio margin signal 128
EVT00129,2026-01-09,ENT009,Data warehouse,qa_failure,Low,Sales,launch_readiness,46965,industrial portfolio margin signal 129
EVT00130,2026-01-10,ENT010,ERP,automation_run,Medium,Sales,backlog_age,44093,industrial portfolio margin signal 130
EVT00131,2026-01-11,ENT011,CRM,release_review,Low,Quality,automation_savings,51647,industrial portfolio margin signal 131
EVT00132,2026-01-12,ENT012,ERP,refresh_delay,High,Sales,backlog_age,54922,industrial portfolio margin signal 132
EVT00133,2026-01-13,ENT013,Sigma workbook,definition_change,Critical,Supply chain,backlog_age,2597,industrial portfolio margin signal 133
EVT00134,2026-01-14,ENT014,ERP,stakeholder_request,Medium,Product,automation_savings,9060,industrial portfolio margin signal 134
EVT00135,2026-01-15,ENT015,Support notes,stakeholder_request,Low,Supply chain,metric_certification,4030,industrial portfolio margin signal 135
EVT00136,2026-01-16,ENT016,ERP,stakeholder_request,Low,Quality,metric_certification,16665,industrial portfolio margin signal 136
EVT00137,2026-01-17,ENT017,ERP,manual_override,Critical,Analytics,automation_savings,23881,industrial portfolio margin signal 137
EVT00138,2026-01-18,ENT018,Support notes,refresh_delay,High,Sales,qa_defect_rate,22434,industrial portfolio margin signal 138
EVT00139,2026-01-19,ENT019,CRM,release_review,Medium,Product,automation_savings,58358,industrial portfolio margin signal 139
EVT00140,2026-01-20,ENT020,Data warehouse,definition_change,Medium,Quality,launch_readiness,41601,industrial portfolio margin signal 140
EVT00141,2026-01-21,ENT021,Support notes,automation_run,Critical,Supply chain,automation_savings,28568,industrial portfolio margin signal 141
EVT00142,2026-01-22,ENT022,Sigma workbook,qa_failure,Critical,Operations,automation_savings,5514,industrial portfolio margin signal 142
EVT00143,2026-01-23,ENT023,Data warehouse,definition_change,High,Analytics,automation_savings,51229,industrial portfolio margin signal 143
EVT00144,2026-01-24,ENT024,Notebook,stakeholder_request,High,Quality,automation_savings,52474,industrial portfolio margin signal 144
EVT00145,2026-01-25,ENT001,ERP,stakeholder_request,Low,Operations,gross_margin,5690,industrial portfolio margin signal 145
EVT00146,2026-01-26,ENT002,Data warehouse,automation_run,High,Analytics,automation_savings,7866,industrial portfolio margin signal 146
EVT00147,2026-01-27,ENT003,Support notes,qa_failure,High,Supply chain,launch_readiness,61865,industrial portfolio margin signal 147
EVT00148,2026-01-28,ENT004,ERP,stakeholder_request,Critical,Product,metric_certification,35839,industrial portfolio margin signal 148
EVT00149,2026-01-29,ENT005,CRM,definition_change,Medium,Analytics,gross_margin,6731,industrial portfolio margin signal 149
EVT00150,2026-01-30,ENT006,ERP,manual_override,Low,Sales,backlog_age,60008,industrial portfolio margin signal 150
EVT00151,2026-01-31,ENT007,Support notes,manual_override,Low,Quality,qa_defect_rate,56602,industrial portfolio margin signal 151
EVT00152,2026-02-01,ENT008,Notebook,definition_change,Medium,Analytics,gross_margin,28385,industrial portfolio margin signal 152
EVT00153,2026-02-02,ENT009,CRM,manual_override,High,Product,qa_defect_rate,32200,industrial portfolio margin signal 153
EVT00154,2026-02-03,ENT010,Sigma workbook,release_review,Medium,Supply chain,backlog_age,14483,industrial portfolio margin signal 154
EVT00155,2026-02-04,ENT011,Data warehouse,release_review,Medium,Supply chain,metric_certification,48549,industrial portfolio margin signal 155
EVT00156,2026-02-05,ENT012,Sigma workbook,definition_change,Critical,Sales,launch_readiness,29656,industrial portfolio margin signal 156
EVT00157,2026-02-06,ENT013,ERP,stakeholder_request,High,Quality,backlog_age,61536,industrial portfolio margin signal 157
EVT00158,2026-02-07,ENT014,Notebook,refresh_delay,Critical,Quality,qa_defect_rate,57026,industrial portfolio margin signal 158
EVT00159,2026-02-08,ENT015,ERP,manual_override,Low,Analytics,backlog_age,28713,industrial portfolio margin signal 159
EVT00160,2026-02-09,ENT016,Support notes,definition_change,Low,Operations,backlog_age,27111,industrial portfolio margin signal 160
EVT00161,2026-02-10,ENT017,CRM,manual_override,Critical,Analytics,launch_readiness,40391,industrial portfolio margin signal 161
EVT00162,2026-02-11,ENT018,Sigma workbook,release_review,High,Quality,launch_readiness,28597,industrial portfolio margin signal 162
EVT00163,2026-02-12,ENT019,CRM,stakeholder_request,Low,Supply chain,qa_defect_rate,40441,industrial portfolio margin signal 163
EVT00164,2026-02-13,ENT020,Notebook,stakeholder_request,Critical,Operations,gross_margin,9560,industrial portfolio margin signal 164
EVT00165,2026-02-14,ENT021,Sigma workbook,definition_change,High,Sales,backlog_age,11246,industrial portfolio margin signal 165
EVT00166,2026-02-15,ENT022,Notebook,manual_override,Low,Quality,launch_readiness,37260,industrial portfolio margin signal 166
EVT00167,2026-02-16,ENT023,CRM,qa_failure,Low,Supply chain,metric_certification,25330,industrial portfolio margin signal 167
EVT00168,2026-02-17,ENT024,Notebook,refresh_delay,Medium,Quality,qa_defect_rate,30955,industrial portfolio margin signal 168
EVT00169,2026-02-18,ENT001,Data warehouse,refresh_delay,High,Product,qa_defect_rate,15480,industrial portfolio margin signal 169
EVT00170,2026-02-19,ENT002,Sigma workbook,refresh_delay,High,Supply chain,launch_readiness,4870,industrial portfolio margin signal 170
EVT00171,2026-02-20,ENT003,Sigma workbook,definition_change,Low,Supply chain,metric_certification,60355,industrial portfolio margin signal 171
EVT00172,2026-02-21,ENT004,Notebook,automation_run,Critical,Product,launch_readiness,14657,industrial portfolio margin signal 172
EVT00173,2026-02-22,ENT005,Support notes,qa_failure,Low,Quality,qa_defect_rate,14810,industrial portfolio margin signal 173
EVT00174,2026-02-23,ENT006,Data warehouse,definition_change,Low,Analytics,metric_certification,7814,industrial portfolio margin signal 174
EVT00175,2026-02-24,ENT007,Notebook,definition_change,Low,Analytics,metric_certification,56588,industrial portfolio margin signal 175
EVT00176,2026-02-25,ENT008,Support notes,automation_run,Critical,Analytics,automation_savings,41890,industrial portfolio margin signal 176
EVT00177,2026-02-26,ENT009,Support notes,manual_override,Critical,Product,gross_margin,18032,industrial portfolio margin signal 177
EVT00178,2026-02-27,ENT010,CRM,automation_run,Low,Product,automation_savings,48359,industrial portfolio margin signal 178
EVT00179,2026-02-28,ENT011,ERP,release_review,High,Operations,backlog_age,35059,industrial portfolio margin signal 179
EVT00180,2026-03-01,ENT012,Notebook,refresh_delay,Low,Supply chain,backlog_age,8820,industrial portfolio margin signal 180
EVT00181,2026-03-02,ENT013,Notebook,qa_failure,High,Product,qa_defect_rate,41192,industrial portfolio margin signal 181
EVT00182,2026-03-03,ENT014,Support notes,release_review,Critical,Analytics,metric_certification,301,industrial portfolio margin signal 182
EVT00183,2026-03-04,ENT015,Data warehouse,qa_failure,Medium,Operations,automation_savings,50134,industrial portfolio margin signal 183
EVT00184,2026-03-05,ENT016,Notebook,release_review,Medium,Sales,qa_defect_rate,15712,industrial portfolio margin signal 184
EVT00185,2026-03-06,ENT017,CRM,manual_override,Medium,Product,automation_savings,25155,industrial portfolio margin signal 185
EVT00186,2026-03-07,ENT018,Notebook,refresh_delay,Medium,Sales,backlog_age,38798,industrial portfolio margin signal 186
EVT00187,2026-03-08,ENT019,Data warehouse,automation_run,High,Operations,metric_certification,8310,industrial portfolio margin signal 187
EVT00188,2026-03-09,ENT020,ERP,automation_run,High,Quality,automation_savings,771,industrial portfolio margin signal 188
EVT00189,2026-03-10,ENT021,Sigma workbook,stakeholder_request,Medium,Analytics,gross_margin,20443,industrial portfolio margin signal 189
EVT00190,2026-03-11,ENT022,Data warehouse,stakeholder_request,Critical,Supply chain,backlog_age,5000,industrial portfolio margin signal 190
EVT00191,2026-03-12,ENT023,Notebook,refresh_delay,Medium,Product,automation_savings,2182,industrial portfolio margin signal 191
EVT00192,2026-03-13,ENT024,Data warehouse,definition_change,Critical,Quality,gross_margin,44088,industrial portfolio margin signal 192
EVT00193,2026-03-14,ENT001,CRM,refresh_delay,Low,Supply chain,launch_readiness,19584,industrial portfolio margin signal 193
EVT00194,2026-03-15,ENT002,Data warehouse,definition_change,High,Operations,gross_margin,60546,industrial portfolio margin signal 194
EVT00195,2026-03-16,ENT003,Sigma workbook,automation_run,Medium,Analytics,backlog_age,44018,industrial portfolio margin signal 195
EVT00196,2026-03-17,ENT004,Sigma workbook,definition_change,Critical,Operations,backlog_age,40207,industrial portfolio margin signal 196
EVT00197,2026-03-18,ENT005,CRM,definition_change,Low,Product,metric_certification,56736,industrial portfolio margin signal 197
EVT00198,2026-03-19,ENT006,CRM,definition_change,High,Product,automation_savings,28953,industrial portfolio margin signal 198
EVT00199,2026-03-20,ENT007,Sigma workbook,qa_failure,Critical,Operations,gross_margin,4635,industrial portfolio margin signal 199
EVT00200,2026-03-21,ENT008,Data warehouse,automation_run,Low,Analytics,backlog_age,40811,industrial portfolio margin signal 200
EVT00201,2026-03-22,ENT009,ERP,definition_change,Critical,Sales,metric_certification,16797,industrial portfolio margin signal 201
EVT00202,2026-03-23,ENT010,Sigma workbook,manual_override,High,Quality,gross_margin,26867,industrial portfolio margin signal 202
EVT00203,2026-03-24,ENT011,CRM,definition_change,High,Supply chain,gross_margin,5462,industrial portfolio margin signal 203
EVT00204,2026-03-25,ENT012,Support notes,qa_failure,High,Supply chain,metric_certification,27998,industrial portfolio margin signal 204
EVT00205,2026-03-26,ENT013,Notebook,definition_change,Medium,Operations,gross_margin,21657,industrial portfolio margin signal 205
EVT00206,2026-03-27,ENT014,Sigma workbook,automation_run,Medium,Operations,backlog_age,30119,industrial portfolio margin signal 206
EVT00207,2026-03-28,ENT015,Sigma workbook,stakeholder_request,Low,Operations,backlog_age,24296,industrial portfolio margin signal 207
EVT00208,2026-03-29,ENT016,Notebook,release_review,High,Operations,gross_margin,47798,industrial portfolio margin signal 208
EVT00209,2026-03-30,ENT017,Notebook,automation_run,Critical,Product,qa_defect_rate,30152,industrial portfolio margin signal 209
EVT00210,2026-03-31,ENT018,Notebook,release_review,Low,Supply chain,metric_certification,47903,industrial portfolio margin signal 210
EVT00211,2026-04-01,ENT019,CRM,definition_change,Critical,Sales,qa_defect_rate,16228,industrial portfolio margin signal 211
EVT00212,2026-04-02,ENT020,Data warehouse,stakeholder_request,Low,Operations,gross_margin,22191,industrial portfolio margin signal 212
EVT00213,2026-04-03,ENT021,Sigma workbook,definition_change,Medium,Supply chain,launch_readiness,15143,industrial portfolio margin signal 213
EVT00214,2026-04-04,ENT022,Sigma workbook,automation_run,Critical,Supply chain,launch_readiness,37448,industrial portfolio margin signal 214
EVT00215,2026-04-05,ENT023,ERP,manual_override,High,Quality,automation_savings,53932,industrial portfolio margin signal 215
EVT00216,2026-04-06,ENT024,ERP,refresh_delay,Medium,Sales,gross_margin,45297,industrial portfolio margin signal 216
EVT00217,2026-04-07,ENT001,Data warehouse,automation_run,Critical,Supply chain,gross_margin,36030,industrial portfolio margin signal 217
EVT00218,2026-04-08,ENT002,CRM,refresh_delay,Critical,Analytics,launch_readiness,54953,industrial portfolio margin signal 218
EVT00219,2026-04-09,ENT003,Notebook,definition_change,Medium,Product,metric_certification,53499,industrial portfolio margin signal 219
EVT00220,2026-04-10,ENT004,Data warehouse,manual_override,Critical,Sales,backlog_age,48213,industrial portfolio margin signal 220
EVT00221,2026-04-11,ENT005,Notebook,refresh_delay,Critical,Supply chain,backlog_age,20745,industrial portfolio margin signal 221
EVT00222,2026-04-12,ENT006,ERP,qa_failure,High,Analytics,qa_defect_rate,23063,industrial portfolio margin signal 222
EVT00223,2026-04-13,ENT007,Support notes,stakeholder_request,High,Quality,launch_readiness,15437,industrial portfolio margin signal 223
EVT00224,2026-04-14,ENT008,Support notes,automation_run,Medium,Sales,metric_certification,9983,industrial portfolio margin signal 224
EVT00225,2026-04-15,ENT009,Sigma workbook,automation_run,Critical,Quality,automation_savings,946,industrial portfolio margin signal 225
EVT00226,2026-04-16,ENT010,Notebook,automation_run,Critical,Product,metric_certification,44497,industrial portfolio margin signal 226
EVT00227,2026-04-17,ENT011,Sigma workbook,stakeholder_request,High,Operations,automation_savings,37141,industrial portfolio margin signal 227
EVT00228,2026-04-18,ENT012,Support notes,automation_run,Critical,Quality,backlog_age,33019,industrial portfolio margin signal 228
EVT00229,2026-04-19,ENT013,CRM,refresh_delay,Critical,Sales,automation_savings,56696,industrial portfolio margin signal 229
